codigo	tipo	equipo	player	x	y	min	sec	period	partido	nombre_equipo	nombre_jugador	outcome	fase	tipo	end_x	end_y	extra
1	pase	181	80906	50	50.1	0	0	1	2372227	Mallorca	Dani Rodríguez	1	0	0	41.7	54.8	0
1	pase_fallado	181	227164	43.3	52.4	0	2	1	2372227	Mallorca	Manu Morlanes	0	0	0	76.9	59.9	0
1	pase	407	451565	20.7	40	0	5	1	2372227	Las Palmas	Saúl Coco	1	0	0	27.6	27.9	0
44	duelo_aereo	407	244363	32	22.9	0	6	1	2372227	Las Palmas	Marc Cardona	1	0	0	0	0	0
44	duelo_aereo	181	58792	68	77.1	0	6	1	2372227	Mallorca	Jaume Costa	0	0	0	0	0	0
1	pase	407	244363	31.2	23.7	0	7	1	2372227	Las Palmas	Marc Cardona	1	0	0	37.9	7.1	0
1	pase_fallado	407	198221	34.4	3.3	0	8	1	2372227	Las Palmas	Javi Muñoz	0	0	0	62.4	4.9	0
49	recuperacion_balon	181	500759	44	93.3	0	12	1	2372227	Mallorca	Copete	1	0	0	0	0	0
1	pase	181	500759	44	93.3	0	12	1	2372227	Mallorca	Copete	1	0	0	46.6	86.9	0
1	pase	181	227164	46.6	86.9	0	13	1	2372227	Mallorca	Manu Morlanes	1	0	0	42.1	95.4	0
1	pase	181	500759	35.1	83.9	0	42	1	2372227	Mallorca	Copete	1	0	0	32.3	46.4	0
1	pase	181	170116	31.1	45.8	0	43	1	2372227	Mallorca	Martin Valjent	1	0	0	8.8	41.2	0
1	pase_fallado	181	104407	9.3	44.1	0	46	1	2372227	Mallorca	Predrag Rajkovic	0	0	0	63.1	45.8	0
1	pase_fallado	407	487703	36.3	54	0	49	1	2372227	Las Palmas	Álex Suárez	0	0	0	53.7	55.5	0
1	pase	181	227164	45	46.4	0	50	1	2372227	Mallorca	Manu Morlanes	1	0	0	48.4	43.3	0
50	me_roban_balon	181	80906	45.4	43.7	0	53	1	2372227	Mallorca	Dani Rodríguez	0	0	0	0	0	0
7	entrada	407	449718	54.6	56.3	0	53	1	2372227	Las Palmas	Enzo Loiodice	0	0	0	0	0	0
61	toco_balon	181	80906	46.7	49.3	0	53	1	2372227	Mallorca	Dani Rodríguez	1	0	0	0	0	0
49	recuperacion_balon	407	244363	55.1	57.5	0	54	1	2372227	Las Palmas	Marc Cardona	1	0	0	0	0	0
